Gene.symbol,P.Value,logFC,Cell Line
DARS1,0.0125,0.35786136,HS578T
UNC119B,0.0316,0.35826057,HS578T
ADK,0.0145,0.3583605,HS578T
TMEM126A,0.0119,0.35849039,HS578T
SMIM8,0.0238,0.35849585,HS578T
DGAT2,0.02,0.35865001,HS578T
U2AF2,0.0232,0.35877767,HS578T
PDIA4,0.017,0.35900895,HS578T
MCM10,0.0325,0.3591263,HS578T
DDX51,0.0154,0.35920436,HS578T
POMZP3,0.0129,0.35925224,HS578T
OLFM1,0.011,0.3593518,HS578T
POLRMT,0.0102,0.35941237,HS578T
SH3GLB2,0.0173,0.35962867,HS578T
CREM,0.023,0.35994752,HS578T
DNAJC9,0.00966,0.35995019,HS578T
TP53BP2,0.00855,0.3600578,HS578T
DPY19L3,0.0168,0.36008755,HS578T
NDUFC1,0.0135,0.36026983,HS578T
FAM76B,0.0119,0.36056805,HS578T
ARHGAP5,0.0262,0.36057669,HS578T
HDAC7,0.0215,0.36098642,HS578T
INHBB,0.0118,0.36107997,HS578T
CORO1A,0.0164,0.3611495,HS578T
CUTA,0.0166,0.3613737,HS578T
SLC25A39,0.0102,0.36150165,HS578T
COPB2,0.0124,0.36177851,HS578T
DDX6,0.0128,0.3618319,HS578T
RBM18,0.00918,0.36185545,HS578T
FBL,0.015,0.36187024,HS578T
CDCA4,0.00676,0.36190251,HS578T
TRIM28,0.0153,0.36190276,HS578T
ZNF468,0.0208,0.36194258,HS578T
TBC1D32,0.0176,0.3621785,HS578T
RNASEH2C,0.0398,0.36229425,HS578T
MDM4,0.0488,0.36235521,HS578T
GPATCH3,0.0433,0.36247343,HS578T
EMP3,0.0112,0.36248619,HS578T
TSN,0.0206,0.36252659,HS578T
G2E3,0.0165,0.36254421,HS578T
PPP1CC,0.0119,0.3625543,HS578T
HECTD4,0.0125,0.36256715,HS578T
SNX32,0.0314,0.36268155,HS578T
FAM13B,0.0215,0.36284429,HS578T
LYRM2,0.0136,0.36293392,HS578T
PDS5B,0.0105,0.36298349,HS578T
SMYD3,0.0183,0.36322356,HS578T
TP53I3,0.0108,0.36325067,HS578T
MYNN,0.0111,0.36330909,HS578T
ZNF143,0.00796,0.36373384,HS578T
PROM2,0.0276,0.36387279,HS578T
HOXA6,0.011,0.36388527,HS578T
TMEM255B,0.0184,0.36395595,HS578T
TTC31,0.00822,0.36396684,HS578T
CD24,0.0113,0.36399081,HS578T
NEK9,0.0108,0.36421549,HS578T
CEP78,0.0222,0.36434004,HS578T
TEX2,0.0219,0.36435521,HS578T
COQ4,0.0083,0.36436431,HS578T
NQO2,0.012,0.36448547,HS578T
CWC25,0.0371,0.36465454,HS578T
SOX4,0.0114,0.36468914,HS578T
DENND4C,0.0136,0.36493714,HS578T
INTS10,0.0197,0.36498869,HS578T
RLF,0.0279,0.36501376,HS578T
MOB3C,0.0437,0.36505876,HS578T
NRF1,0.0231,0.36507572,HS578T
SENP6,0.00875,0.36516459,HS578T
AEBP2,0.00783,0.36545617,HS578T
PLAC8L1,0.0408,0.36566083,HS578T
CCP110,0.0414,0.36567389,HS578T
BORCS7,0.0112,0.36568426,HS578T
FAM102A,0.035,0.36577887,HS578T
NADK,0.0248,0.36586931,HS578T
IPO13,0.0122,0.36641333,HS578T
FAM20B,0.0244,0.36647165,HS578T
SLC11A2,0.0124,0.36650704,HS578T
PTPN3,0.0441,0.36655498,HS578T
SFXN1,0.00878,0.36660021,HS578T
TMEM18,0.0114,0.36662309,HS578T
PTBP2,0.0145,0.36672944,HS578T
SUOX,0.0082,0.36703041,HS578T
CIB2,0.021,0.36705373,HS578T
DMRTB1,0.011,0.36721847,HS578T
SNX14,0.0177,0.36722453,HS578T
RBM24,0.0263,0.36725222,HS578T
SUV39H2,0.0139,0.36725552,HS578T
ZNF8,0.00763,0.36739478,HS578T
H4C5,0.0125,0.36747447,HS578T
ZBTB2,0.0112,0.36748094,HS578T
RANBP17,0.00961,0.36758293,HS578T
KAT6B,0.0167,0.36767491,HS578T
CENPU,0.0121,0.36789704,HS578T
METTL17,0.0112,0.36791897,HS578T
CCT7,0.00843,0.36810901,HS578T
PADI2,0.0219,0.36825248,HS578T
TYW1B,0.00835,0.36826611,HS578T
COQ8A,0.0444,0.36834999,HS578T
RABGGTB,0.0111,0.36846365,HS578T
TOP3B,0.0354,0.36865489,HS578T
FAM229A,0.0154,0.36885804,HS578T
TMEM53,0.0204,0.36896291,HS578T
SYAP1,0.0189,0.36896621,HS578T
BROX,0.00897,0.3689722,HS578T
KNL1,0.00962,0.36897953,HS578T
PIM1,0.0181,0.36923584,HS578T
ZNF195,0.0136,0.36924106,HS578T
KAT7,0.0112,0.3693719,HS578T
GCNT3,0.0167,0.3695907,HS578T
MRPS16,0.0104,0.36968414,HS578T
PPP3R1,0.0126,0.36988521,HS578T
ETHE1,0.00642,0.37002453,HS578T
ZC3H4,0.0141,0.37010675,HS578T
TRAPPC2,0.00798,0.37017796,HS578T
GLTP,0.0149,0.37046503,HS578T
PAF1,0.0287,0.37047265,HS578T
PCMTD2,0.0252,0.37059434,HS578T
ABI2,0.0168,0.37062975,HS578T
SFSWAP,0.0058,0.37081401,HS578T
PHF12,0.0086,0.37127679,HS578T
YOD1,0.0113,0.37129523,HS578T
SPATA5,0.00714,0.37148249,HS578T
CYFIP2,0.0132,0.37152628,HS578T
CGB8,0.0181,0.37157911,HS578T
LRP6,0.0342,0.37166397,HS578T
AGPAT3,0.0101,0.3717162,HS578T
NELFCD,0.0301,0.37172037,HS578T
KIF2A,0.031,0.37172882,HS578T
KIF24,0.0411,0.37187473,HS578T
VRK2,0.0204,0.37194112,HS578T
EIF4B,0.00907,0.37198947,HS578T
DTL,0.0111,0.37242764,HS578T
LIG3,0.0107,0.37244177,HS578T
C2CD4D,0.0305,0.37245409,HS578T
H2AC16,0.0143,0.3725219,HS578T
VARS2,0.0117,0.37259728,HS578T
GALNT2,0.00612,0.37266408,HS578T
CHML,0.00682,0.37273679,HS578T
ZFAND3,0.00615,0.3729241,HS578T
RTRAF,0.00754,0.37292492,HS578T
PDIK1L,0.0112,0.37303615,HS578T
CEP57,0.0128,0.37322115,HS578T
LDLRAD3,0.0215,0.37323653,HS578T
VRK1,0.0122,0.37336672,HS578T
WWTR1,0.00941,0.37339956,HS578T
ATG3,0.00942,0.37343891,HS578T
UBE2E3,0.0383,0.37345155,HS578T
COX17,0.0155,0.37348911,HS578T
PAXBP1,0.0268,0.37356298,HS578T
ELAC2,0.00853,0.37358006,HS578T
CCDC34,0.0226,0.37376533,HS578T
EID2,0.0182,0.37423917,HS578T
OLFML2A,0.0456,0.37446562,HS578T
GGCX,0.0139,0.37452819,HS578T
CRADD,0.0183,0.37471177,HS578T
ZNF254,0.0252,0.37478252,HS578T
PHYKPL,0.0128,0.37487848,HS578T
PDIA6,0.0108,0.3751485,HS578T
CNOT6L,0.00675,0.375232,HS578T
MRGPRG,0.00868,0.37546965,HS578T
C17orf75,0.011,0.37578226,HS578T
AGO1,0.0108,0.37587145,HS578T
CDK2,0.00755,0.3759253,HS578T
C5orf22,0.00904,0.37595938,HS578T
LYRM7,0.0104,0.37604451,HS578T
COPG1,0.00884,0.3762587,HS578T
G0S2,0.0193,0.37628419,HS578T
TIGAR,0.0187,0.37642351,HS578T
LPXN,0.00498,0.3764462,HS578T
CLK2,0.00736,0.37651843,HS578T
TIPRL,0.0142,0.37674793,HS578T
ZNF24,0.00734,0.37686183,HS578T
CYP51A1,0.00978,0.37697207,HS578T
AHNAK2,0.0141,0.37709762,HS578T
ZNF607,0.0173,0.37742041,HS578T
TARDBP,0.00955,0.37751364,HS578T
TNPO1,0.00841,0.37753132,HS578T
SLC35B3,0.0306,0.37756302,HS578T
CINP,0.00519,0.37769526,HS578T
GTPBP6,0.0198,0.37781077,HS578T
DENND11,0.0103,0.37782054,HS578T
UBN2,0.0089,0.37795233,HS578T
RIC8B,0.00777,0.37800665,HS578T
JARID2,0.0107,0.3781309,HS578T
C6orf47,0.0388,0.37814913,HS578T
NECTIN3,0.00728,0.37820968,HS578T
LIN52,0.0253,0.37821271,HS578T
NDOR1,0.00591,0.37834902,HS578T
ZNF30,0.0179,0.37837951,HS578T
NPY4R,0.0322,0.3784502,HS578T
ELOVL5,0.00752,0.37885461,HS578T
ABCC3,0.0131,0.37892017,HS578T
PITX2,0.00952,0.37923124,HS578T
POP5,0.0138,0.37928266,HS578T
COMMD10,0.0232,0.37946889,HS578T
NRBF2,0.00773,0.37964994,HS578T
TMPRSS13,0.0172,0.37968596,HS578T
SOCS3,0.0132,0.37977948,HS578T
CNPY4,0.0328,0.37980189,HS578T
ANKRD27,0.00879,0.3798574,HS578T
FAM216A,0.00637,0.38031888,HS578T
C4orf47,0.0176,0.38036393,HS578T
ARRDC1,0.0125,0.38041706,HS578T
RNF214,0.0143,0.38050245,HS578T
CENPJ,0.0137,0.38052272,HS578T
RNF167,0.00538,0.38058935,HS578T
SH2D3C,0.0478,0.38065334,HS578T
RPS6KC1,0.00478,0.38067075,HS578T
OIP5,0.0207,0.38076479,HS578T
SNORD49A,0.00862,0.38085089,HS578T
CACNA1I,0.0162,0.38095375,HS578T
DUSP11,0.00601,0.38107246,HS578T
RNPEP,0.00746,0.3811234,HS578T
SKIL,0.00728,0.3811904,HS578T
HS2ST1,0.00521,0.3817583,HS578T
GTPBP2,0.00779,0.38178999,HS578T
MTA3,0.0451,0.3824307,HS578T
CMSS1,0.00454,0.38248054,HS578T
ZNF138,0.00924,0.38283753,HS578T
YIF1B,0.00852,0.38285078,HS578T
HYOU1,0.0104,0.38294181,HS578T
CEP135,0.00811,0.38302526,HS578T
COX20,0.00904,0.38304921,HS578T
FOXJ2,0.00693,0.38307092,HS578T
MELK,0.00906,0.38310975,HS578T
TSNAX-DISC1,0.00756,0.38319827,HS578T
MAP3K7CL,0.0322,0.38320013,HS578T
RAB11FIP1,0.0088,0.38339792,HS578T
ERBIN,0.0309,0.38340649,HS578T
RAN,0.00877,0.38346261,HS578T
MYORG,0.0117,0.383482,HS578T
FAM221A,0.0184,0.38363092,HS578T
CGB1,0.0296,0.38411468,HS578T
NBN,0.0124,0.38421033,HS578T
RASGRP3,0.0108,0.38430756,HS578T
FANCG,0.0331,0.38449829,HS578T
PPA1,0.0103,0.38456838,HS578T
WFDC9,0.00998,0.38457068,HS578T
PRNT,0.0357,0.38472433,HS578T
PAPOLA,0.0101,0.38473324,HS578T
SKA3,0.00464,0.38477091,HS578T
ZBTB5,0.00948,0.3848055,HS578T
TBC1D14,0.0052,0.38497832,HS578T
ZNF565,0.00984,0.38499421,HS578T
ANAPC13,0.00791,0.38502136,HS578T
FDFT1,0.00801,0.38512246,HS578T
CKAP2,0.0184,0.38527916,HS578T
NPEPPS,0.00929,0.385369,HS578T
CNTFR,0.0214,0.38552351,HS578T
SNRNP35,0.0205,0.38554507,HS578T
SKA1,0.0138,0.38607394,HS578T
SLC35A5,0.0192,0.38615155,HS578T
GPATCH1,0.00872,0.38629495,HS578T
BAZ1A,0.0095,0.38654651,HS578T
MIGA1,0.012,0.38655811,HS578T
U2AF1L4,0.011,0.3867064,HS578T
KNTC1,0.00924,0.38679892,HS578T
DYNC1H1,0.0191,0.38680166,HS578T
LYPD3,0.00547,0.3869658,HS578T
CAAP1,0.0101,0.38698249,HS578T
RPS18,0.00954,0.38704916,HS578T
PTER,0.025,0.38708585,HS578T
GPATCH2,0.0127,0.38708918,HS578T
PRMT9,0.0194,0.38709887,HS578T
MED23,0.00993,0.38714311,HS578T
CHRNB1,0.0108,0.38720224,HS578T
CTXN1,0.0097,0.38722355,HS578T
SMAD9,0.00987,0.38741874,HS578T
SLC25A6,0.0151,0.38745282,HS578T
SPOP,0.0086,0.38795623,HS578T
UBE2D2,0.0107,0.3879576,HS578T
KLC1,0.00822,0.3880004,HS578T
TAS2R5,0.0064,0.38801769,HS578T
MCEE,0.0316,0.38802768,HS578T
KIRREL3,0.0153,0.38807792,HS578T
SAE1,0.0101,0.3880842,HS578T
SRP9,0.0131,0.38810473,HS578T
GABPB1,0.00705,0.38816314,HS578T
CEP19,0.0233,0.38832097,HS578T
PRMT2,0.0121,0.38851212,HS578T
CD320,0.00558,0.38856279,HS578T
RPL26,0.0119,0.38857783,HS578T
TMEM147,0.0108,0.38894531,HS578T
GKAP1,0.0108,0.38915187,HS578T
ZNF287,0.0112,0.389496,HS578T
VAMP1,0.012,0.38955739,HS578T
PYGL,0.00616,0.38981833,HS578T
GSTM2,0.00557,0.38998598,HS578T
ZNF283,0.00744,0.39001076,HS578T
SERTAD1,0.00552,0.390068,HS578T
NAGK,0.00889,0.39014161,HS578T
TBC1D25,0.00828,0.39014585,HS578T
WDR53,0.0133,0.39043074,HS578T
AP2M1,0.00978,0.390861,HS578T
SON,0.00647,0.39096712,HS578T
PIAS2,0.00617,0.39108224,HS578T
MED13L,0.0102,0.39123672,HS578T
TARBP2,0.0167,0.39130905,HS578T
PIK3C2B,0.0161,0.39131619,HS578T
SEMA3B,0.0389,0.39156594,HS578T
AGAP5,0.00464,0.39158281,HS578T
RFNG,0.0235,0.39173689,HS578T
ZNF555,0.00444,0.39173847,HS578T
GOPC,0.00926,0.39179241,HS578T
TUBB2A,0.0182,0.39186024,HS578T
RTN3,0.00977,0.39192727,HS578T
HSPBAP1,0.00902,0.39212384,HS578T
NUTM1,0.0219,0.39224417,HS578T
BUB3,0.00502,0.39233337,HS578T
SIRT2,0.0049,0.39233338,HS578T
TMEM236,0.0269,0.39265665,HS578T
CDC7,0.0084,0.39266763,HS578T
MED6,0.00616,0.39270882,HS578T
AHCY,0.00955,0.39278147,HS578T
HOXA7,0.0153,0.39312068,HS578T
MYG1,0.0157,0.3932055,HS578T
GPSM2,0.00552,0.39323104,HS578T
PRPF40B,0.00627,0.39328325,HS578T
TMEM19,0.00442,0.39333265,HS578T
LPAR1,0.00807,0.39335687,HS578T
H3C7,0.00679,0.39370744,HS578T
ZBTB41,0.0126,0.39380877,HS578T
SPATS2,0.0177,0.39388916,HS578T
FNTB,0.00445,0.39405047,HS578T
CENPI,0.00427,0.39408965,HS578T
PCBD2,0.00709,0.39413123,HS578T
PSMD12,0.0127,0.39428706,HS578T
COPS3,0.00859,0.3944165,HS578T
THADA,0.00777,0.39447357,HS578T
MZF1,0.0098,0.39457072,HS578T
POGLUT1,0.00626,0.39478699,HS578T
AKT2,0.00876,0.3948601,HS578T
ASCC1,0.00756,0.39495063,HS578T
REPIN1,0.00936,0.39495492,HS578T
COQ6,0.0161,0.39514203,HS578T
TMEM234,0.0258,0.39548451,HS578T
TRAF7,0.00893,0.39549886,HS578T
CEMIP2,0.00404,0.39565791,HS578T
CCDC43,0.00507,0.3957191,HS578T
CYB5D1,0.00932,0.39573149,HS578T
TMEM161B,0.0188,0.39586341,HS578T
FTSJ3,0.00749,0.3959015,HS578T
FGF5,0.0193,0.39592376,HS578T
CMTM8,0.00375,0.39598859,HS578T
TRIM52,0.0053,0.39603259,HS578T
CEP250,0.0151,0.39604628,HS578T
ATL2,0.0115,0.39605717,HS578T
DDHD1,0.0159,0.39617828,HS578T
SH3D21,0.00625,0.39629597,HS578T
PGAP2,0.0106,0.39637618,HS578T
ALKBH1,0.00507,0.39647938,HS578T
CHD8,0.00898,0.39664042,HS578T
TRMT61B,0.0158,0.39681717,HS578T
GK5,0.0219,0.39685383,HS578T
GATD3A,0.0156,0.39688009,HS578T
AZU1,0.0175,0.39700546,HS578T
PHC3,0.00891,0.39704609,HS578T
NBPF3,0.0141,0.39713338,HS578T
TAF9B,0.0128,0.3972003,HS578T
POLR1G,0.0178,0.39724416,HS578T
SAMD1,0.0225,0.39736989,HS578T
FCF1,0.0111,0.39745073,HS578T
TRAK2,0.00572,0.39755054,HS578T
BTN2A2,0.00554,0.39783629,HS578T
ATP1B3,0.011,0.3979259,HS578T
PXMP2,0.00592,0.39811039,HS578T
SRSF2,0.00472,0.3983803,HS578T
TNFAIP8L1,0.00458,0.39851892,HS578T
ACTR5,0.0058,0.39857195,HS578T
KLHL9,0.0292,0.3986693,HS578T
CCNA2,0.00959,0.39882815,HS578T
DVL3,0.00471,0.39903903,HS578T
H2BC12,0.0118,0.39908134,HS578T
LRRC51,0.0117,0.39919413,HS578T
MSH5,0.0123,0.39920055,HS578T
KLHL36,0.015,0.39931612,HS578T
TINF2,0.01,0.39932682,HS578T
SPTSSA,0.00719,0.39937705,HS578T
TMEM185B,0.0148,0.39954762,HS578T
SMARCE1,0.00594,0.39963643,HS578T
ZBTB39,0.0298,0.3997053,HS578T
C14orf119,0.00508,0.39977514,HS578T
PRKAA2,0.00503,0.39991597,HS578T
NASP,0.00467,0.40011014,HS578T
LRRC8D,0.00558,0.40027898,HS578T
CRISPLD2,0.00816,0.40033181,HS578T
DENND5B,0.00448,0.40045897,HS578T
GPI,0.00947,0.40046461,HS578T
SPRTN,0.00425,0.40048468,HS578T
LETMD1,0.00916,0.40051519,HS578T
INPP5F,0.0125,0.4006796,HS578T
TBX3,0.00507,0.40097349,HS578T
RTL10,0.00582,0.40119565,HS578T
C19orf12,0.00677,0.40119574,HS578T
ZCCHC8,0.011,0.40158179,HS578T
APH1B,0.00782,0.4016054,HS578T
ACAD9,0.0147,0.40169376,HS578T
MINPP1,0.0055,0.40172314,HS578T
CASTOR2,0.00466,0.40173692,HS578T
DMAP1,0.00509,0.40184502,HS578T
RMND5A,0.0228,0.4019419,HS578T
NOC3L,0.0138,0.40195467,HS578T
MPDU1,0.00665,0.4020002,HS578T
NUF2,0.01,0.40212406,HS578T
C2CD5,0.00661,0.40239366,HS578T
SNX4,0.00599,0.40249737,HS578T
VTI1B,0.0106,0.40252741,HS578T
PIAS4,0.00392,0.40263998,HS578T
HK1,0.0126,0.40264612,HS578T
SLC37A4,0.00509,0.40294359,HS578T
RAPGEF6,0.00908,0.40307489,HS578T
EFCAB2,0.00732,0.40320729,HS578T
IL27RA,0.0187,0.40336654,HS578T
WDR37,0.00477,0.40359651,HS578T
TTF2,0.00394,0.40366769,HS578T
H1-8,0.015,0.40390187,HS578T
ENGASE,0.0173,0.40392181,HS578T
ANKRD16,0.00569,0.40392406,HS578T
ATP2C1,0.0069,0.40394402,HS578T
CCDC85B,0.00491,0.40399818,HS578T
H1-2,0.00817,0.40403593,HS578T
RBBP5,0.00425,0.40426887,HS578T
NIF3L1,0.0061,0.40435242,HS578T
PIK3CA,0.0054,0.40436969,HS578T
TTC32,0.0121,0.40451528,HS578T
BTN3A1,0.00895,0.40457177,HS578T
PIGO,0.00463,0.40463163,HS578T
FH,0.00675,0.40468804,HS578T
ZNF547,0.00412,0.40478525,HS578T
NXT2,0.00769,0.40482928,HS578T
WDR43,0.004,0.40496089,HS578T
LEAP2,0.00328,0.40498454,HS578T
NCK1,0.00364,0.40500763,HS578T
XPO1,0.0044,0.40549351,HS578T
ZSCAN22,0.00859,0.40552527,HS578T
NCBP1,0.00725,0.40578685,HS578T
PIK3CD,0.00729,0.40595282,HS578T
RUVBL2,0.0101,0.40595501,HS578T
FUNDC1,0.00459,0.40596693,HS578T
FAM81B,0.0274,0.40604732,HS578T
OSR2,0.00762,0.40610675,HS578T
GTF3C2,0.00402,0.40618064,HS578T
TTC26,0.00538,0.40626946,HS578T
ABCD3,0.00549,0.40647974,HS578T
ALCAM,0.00554,0.40668593,HS578T
EPHB2,0.00866,0.40686222,HS578T
XRCC2,0.0109,0.40690987,HS578T
MEPCE,0.00359,0.40693591,HS578T
FAM98A,0.00408,0.40704809,HS578T
PLCXD1,0.00509,0.40720182,HS578T
LCLAT1,0.0055,0.4072923,HS578T
ELK4,0.0114,0.40756717,HS578T
RFC5,0.00657,0.40767377,HS578T
IAH1,0.00862,0.40772889,HS578T
SMC3,0.0118,0.40781953,HS578T
SELENOO,0.0236,0.40789764,HS578T
HROB,0.00415,0.40804138,HS578T
RPL36AL,0.00545,0.4080819,HS578T
CLDN1,0.00912,0.40835625,HS578T
RHOBTB3,0.0103,0.40851264,HS578T
ANGEL2,0.0171,0.40852701,HS578T
SETD9,0.00431,0.40887126,HS578T
LANCL2,0.00308,0.40890849,HS578T
ACBD7,0.0111,0.40898711,HS578T
ERCC2,0.00463,0.40901612,HS578T
RPL23,0.0102,0.40928335,HS578T
VEZF1,0.00888,0.40946386,HS578T
KIAA1549,0.0263,0.40970887,HS578T
TBC1D22B,0.00683,0.409796,HS578T
RB1CC1,0.0074,0.4101706,HS578T
GMFB,0.00631,0.41039965,HS578T
GABPB2,0.0342,0.41071326,HS578T
MAPK1IP1L,0.00587,0.41080887,HS578T
CNIH4,0.00392,0.41092273,HS578T
TAP2,0.0126,0.41128358,HS578T
HARS2,0.0122,0.41144104,HS578T
ZFP82,0.0159,0.41145167,HS578T
LAMTOR3,0.00984,0.41149466,HS578T
MRPL19,0.00609,0.41162187,HS578T
PIGH,0.0266,0.41162739,HS578T
ZDHHC17,0.00577,0.41164786,HS578T
MRPL39,0.00733,0.4116625,HS578T
PRKRA,0.00314,0.41171419,HS578T
BOLA3,0.00325,0.41175657,HS578T
DDX12P,0.0079,0.41182405,HS578T
MNX1,0.00391,0.4119498,HS578T
TOMM70,0.00633,0.4120481,HS578T
OTUB2,0.00857,0.41227033,HS578T
SH3BP1,0.0256,0.41243391,HS578T
TENT4A,0.00592,0.41245868,HS578T
SRPK1,0.013,0.41253918,HS578T
CAMK2G,0.023,0.41259629,HS578T
CHCHD6,0.0168,0.41265366,HS578T
FAM72C,0.0052,0.41268208,HS578T
GLRX5,0.00435,0.41270681,HS578T
RIPK1,0.00467,0.4128251,HS578T
LTC4S,0.0189,0.41300402,HS578T
CDON,0.0181,0.41315328,HS578T
TGFB1,0.00715,0.41338074,HS578T
CCNT1,0.0122,0.41347215,HS578T
MAP2K3,0.00648,0.41352264,HS578T
IER3,0.00545,0.41365622,HS578T
HMGXB3,0.00487,0.41378539,HS578T
TBC1D23,0.00512,0.41380349,HS578T
ACAP2,0.00549,0.41400155,HS578T
CCDC88C,0.0101,0.4145655,HS578T
DEPDC1,0.00543,0.41457609,HS578T
TEX261,0.00573,0.41462212,HS578T
TMEM238,0.0176,0.41476548,HS578T
MKNK1,0.00563,0.41491924,HS578T
ZNF510,0.00542,0.41505477,HS578T
ZNF280C,0.00765,0.41507563,HS578T
WDTC1,0.00291,0.41522911,HS578T
XXYLT1,0.00533,0.41549459,HS578T
HAUS8,0.00288,0.41569507,HS578T
RUVBL1,0.00279,0.41580334,HS578T
CAMK2N2,0.0142,0.41582705,HS578T
ZNF526,0.00715,0.41603959,HS578T
SCARA3,0.00565,0.41624979,HS578T
RNF103-CHMP3,0.00439,0.4163787,HS578T
STARD13,0.0241,0.41665405,HS578T
NUDT19,0.00363,0.41671694,HS578T
PNKD,0.0159,0.416717,HS578T
TMEM44,0.0343,0.41695162,HS578T
AFAP1L1,0.0167,0.41702503,HS578T
INTS2,0.0133,0.41726822,HS578T
GPATCH8,0.00373,0.41729529,HS578T
NT5DC1,0.012,0.41734579,HS578T
SMIM10,0.044,0.41742409,HS578T
CRYBG1,0.00844,0.41756832,HS578T
PGBD1,0.0114,0.41759016,HS578T
MPP2,0.0216,0.41763606,HS578T
TDP1,0.00987,0.41808441,HS578T
CLSPN,0.0193,0.41811738,HS578T
ZNF83,0.0266,0.41817,HS578T
C19orf73,0.00351,0.41817872,HS578T
NDUFB1,0.00531,0.41841818,HS578T
KPNA5,0.0133,0.41848565,HS578T
ZCCHC10,0.00631,0.41855669,HS578T
HHAT,0.00633,0.41887347,HS578T
DAG1,0.00359,0.41892802,HS578T
COQ3,0.00511,0.41903466,HS578T
YEATS4,0.00428,0.41913575,HS578T
BTRC,0.00646,0.41926191,HS578T
RBFA,0.0319,0.41957326,HS578T
APOBEC3G,0.00268,0.41962997,HS578T
RAB3IP,0.00497,0.41980376,HS578T
NDUFAF7,0.00247,0.41984161,HS578T
SQLE,0.00536,0.42000175,HS578T
CHPT1,0.00263,0.42021457,HS578T
RAD21,0.00358,0.42025949,HS578T
TCEANC2,0.00877,0.42040315,HS578T
SESN1,0.0029,0.42042893,HS578T
TSPAN13,0.00496,0.42045801,HS578T
CCDC15,0.00419,0.42046653,HS578T
CLIC1,0.00473,0.42050176,HS578T
THOC1,0.0113,0.4205707,HS578T
IL24,0.00229,0.42084467,HS578T
EPHA2,0.00223,0.42104124,HS578T
AACS,0.00405,0.42106385,HS578T
ACVR1C,0.0177,0.42127439,HS578T
SUSD5,0.0026,0.42182633,HS578T
LRRC37B,0.0103,0.42186606,HS578T
ATE1,0.00489,0.42190644,HS578T
MTR,0.0171,0.42203804,HS578T
ESCO2,0.0346,0.42205272,HS578T
IRF2BP2,0.00377,0.42221332,HS578T
FAM8A1,0.00351,0.42233568,HS578T
RSBN1,0.00358,0.4225977,HS578T
PPP1R21,0.00822,0.42266038,HS578T
TCP11L1,0.00985,0.42282569,HS578T
DIPK2A,0.00465,0.42284015,HS578T
GIN1,0.00292,0.4229655,HS578T
DPYD,0.00441,0.42297534,HS578T
FYTTD1,0.00215,0.42313568,HS578T
UCHL3,0.00942,0.42325814,HS578T
DDX50,0.00783,0.42334385,HS578T
GFOD1,0.0162,0.42345986,HS578T
THAP1,0.00412,0.42367934,HS578T
CNTROB,0.00539,0.42371146,HS578T
TPRA1,0.00684,0.42420013,HS578T
PGAM4,0.0119,0.42420751,HS578T
TENT5C,0.00493,0.42427432,HS578T
SLC4A1AP,0.00871,0.42456753,HS578T
SUCLG1,0.00211,0.42487875,HS578T
CREB1,0.00534,0.42506123,HS578T
PIK3R1,0.0322,0.42555199,HS578T
ERLEC1,0.00282,0.4256997,HS578T
MEMO1,0.00415,0.42582599,HS578T
RBM7,0.00993,0.42602095,HS578T
IQSEC1,0.0129,0.42621926,HS578T
COQ2,0.0039,0.4264671,HS578T
DGCR8,0.00362,0.42667685,HS578T
CEBPZ,0.00526,0.42671546,HS578T
MIB1,0.0034,0.42678212,HS578T
APBB1IP,0.00693,0.4267976,HS578T
NDRG1,0.00726,0.42680701,HS578T
BAMBI,0.00239,0.42689761,HS578T
PSMG4,0.00584,0.42699405,HS578T
PUS7L,0.0125,0.42734385,HS578T
DCPS,0.00254,0.42768442,HS578T
DPY19L2,0.00592,0.42798511,HS578T
ALDH7A1,0.0062,0.42803951,HS578T
TUBB,0.00295,0.42814728,HS578T
LIFR,0.00272,0.42817868,HS578T
PPP2R5A,0.00745,0.4283674,HS578T
EIF2B5,0.00927,0.42862051,HS578T
BBS2,0.00295,0.42862233,HS578T
EXO5,0.0273,0.42865054,HS578T
PRPF4B,0.00238,0.42876388,HS578T
UNG,0.0164,0.42877879,HS578T
IFNAR1,0.00511,0.42882359,HS578T
NUP62,0.00578,0.42882371,HS578T
FGF19,0.0265,0.42888794,HS578T
EBP,0.00794,0.42892757,HS578T
CCND1,0.0036,0.42896077,HS578T
TROAP,0.00915,0.42912924,HS578T
CCDC191,0.0185,0.42947466,HS578T
PDPN,0.00399,0.42950438,HS578T
CDC20,0.00322,0.42953202,HS578T
SVBP,0.00565,0.42962215,HS578T
ZNF692,0.00375,0.42971761,HS578T
ZFYVE1,0.0224,0.42977646,HS578T
FAM83D,0.00254,0.4298714,HS578T
BCL11A,0.00511,0.42987973,HS578T
H1-3,0.004,0.43003012,HS578T
QRSL1,0.00228,0.43086228,HS578T
APOBEC3C,0.00248,0.43097731,HS578T
CUL1,0.00255,0.43105974,HS578T
CLU,0.00516,0.43130936,HS578T
RPS19,0.00591,0.43131683,HS578T
STK19,0.0078,0.43148936,HS578T
VCPKMT,0.0026,0.43156711,HS578T
HYKK,0.00465,0.43176329,HS578T
U2AF1,0.00468,0.43201026,HS578T
SLC33A1,0.00275,0.43204117,HS578T
GTF3C3,0.00515,0.43215351,HS578T
IL22RA1,0.0492,0.43262435,HS578T
